SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.1857728659720291
HB_BUSAVG,2017,0.15408526659786886
HB_BUSAVG,2018,0.2002577596417808
HB_BUSAVG,2019,0.24936359714841633
HB_HOUSTON,2016,0.19109873836659264
HB_HOUSTON,2017,0.17046936122567533
HB_HOUSTON,2018,0.20024629511535247
HB_HOUSTON,2019,0.2479319263413849
HB_HUBAVG,2016,0.18795653971215714
HB_HUBAVG,2017,0.15867965325640584
HB_HUBAVG,2018,0.20212435048463304
HB_HUBAVG,2019,0.25063370027349796
HB_NORTH,2016,0.18418051167623464
HB_NORTH,2017,0.152568465543505
HB_NORTH,2018,0.20016193455232809
HB_NORTH,2019,0.24960422691912879
HB_PAN,2019,0.6316345305022135
HB_SOUTH,2016,0.2090261556542681
HB_SOUTH,2017,0.1561376731613593
HB_SOUTH,2018,0.1986889978643958
HB_SOUTH,2019,0.24896613467967418
HB_WEST,2016,0.20884898330524096
HB_WEST,2017,0.24761455968272877
HB_WEST,2018,0.3025043074447881
HB_WEST,2019,0.3365881022401162
