SettlementPoint,Month,DayOfWeek,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
LZ_RAYBN,1,0,0.7716148738606008,0.742977667634677,0.7391851113779526,0.7576255645543604,0.8215539828937545,0.9324238011292505,1.5336461624497186,1.3969778777014157,1.1720361428340274,1.1432172572664638,1.0444064053322886,0.980682376252239,0.9130976611623504,0.8838927069938031,0.8680184745180529,0.8551873710147643,0.8965421311554521,1.2991662621462576,1.3828750188066503,1.111014593960865,1.0412270168535978,0.9744144389656768,0.9081468991026743,0.8300702020331053
LZ_RAYBN,1,1,0.6448443712931333,0.6112067950068923,0.63160709680911,0.6482444215935029,0.7343726620674725,0.9064763317659569,1.6128845351831984,1.5184471830201232,1.198288514006106,1.117241247576509,1.0085733478079544,0.9379554491536485,0.8962379780524842,0.855953112414959,0.8183806464552564,0.8307010534425509,0.8895333844826543,1.4449258706261758,1.6257779843559481,1.2357845743410811,1.1029533957524837,1.0064721931279508,0.897441366641941,0.8256964850229057
LZ_RAYBN,1,2,0.576402989695721,0.5563191578518059,0.5581992193765707,0.5829682839091851,0.6934293590507182,1.0682032107770298,3.4986452863550053,3.5090303881108498,1.5890996221225546,0.9488193039544706,0.8368810376149083,0.754516437482359,0.7092009862862443,0.6750465352530187,0.6392955240360644,0.6300593487675774,0.6506654199239271,0.9236026057254837,1.007787582889948,0.8257648008216565,0.7797480568345584,0.71775078988696,0.6609609949404958,0.6076030583328877
LZ_RAYBN,1,3,0.7386178756926055,0.7036489156259981,0.7057197270585138,0.7348818756854893,0.8173087101282072,1.045866516277841,1.9984824723780619,1.7803854662483536,1.2421025852230525,1.0999424478094144,1.0117941962129415,0.9308831103445394,0.8902140816956461,0.8536012816259074,0.8186109729878305,0.820468298705654,0.8701250759430954,1.1956480937059963,1.2598005509710488,1.0249449162379904,0.9508226760968052,0.8786004588163819,0.8401303330288198,0.7873993614998084
LZ_RAYBN,1,4,0.8168201643615544,0.7644441347965562,0.7614687828823006,0.7869682864780297,0.8530899500931847,0.9927101828960296,1.6212225376760085,1.4411030932799462,1.1730755241445094,1.0774462382392145,1.0245046459136553,0.9551371438465849,0.9008431188327277,0.8662700213827804,0.8355083251453096,0.8274429083860048,0.8687781692774423,1.2885978654104069,1.3264168013122697,1.0992081096781927,1.0073656353001326,0.9766531184331453,0.8888925318052211,0.8460327104287929
LZ_RAYBN,1,5,0.8916144996972648,0.8264637902440307,0.7958596361913287,0.7918666912364757,0.8386447995366837,0.8945965725116487,1.0687445705109642,1.1825940453312975,1.3789812304209332,1.314512859662516,1.1411988311790875,1.0492094663963987,0.9434216968963066,0.8823650196119723,0.8599742017005818,0.8413741543159502,0.8684149840734988,1.1646005212309474,1.3309142601416273,1.1179487719482981,1.028031695053571,0.9769826519598809,0.9321504725300761,0.8795345776186589
LZ_RAYBN,1,6,0.869362689237244,0.79872868788226,0.7640860570904061,0.7768491315926681,0.8102429292629699,0.8835244568356442,1.0555886843230855,1.173428577672737,1.2476592184177908,1.1919612611965695,1.0908307550132845,1.0226944199014047,0.9576551909309738,0.9201152672971192,0.8851978932185239,0.8788787976234705,0.9042301099909772,1.2549524038476547,1.4928301368408896,1.1624138695406478,1.0673277156656749,1.0013893268477267,0.9175676477291531,0.8724847720411241
LZ_RAYBN,2,0,0.7225434036428406,0.6635979579505331,0.64240545051108,0.677040062669272,0.750214763356641,0.932591427378449,1.5112074304967749,1.34714714790478,1.1438201765285412,1.1335872229363482,1.0673454996827432,1.0394016648732929,0.9889332221567665,0.9817277696273524,0.9453372068527487,0.9640774384313507,0.956115110636242,1.1408229504763898,1.619834168629286,1.1340413480957647,1.0296228364405164,0.9666810893453407,0.8675304295393278,0.7743742218376175
LZ_RAYBN,2,1,0.7073138229446078,0.6529757059113022,0.627231598016152,0.639359511083609,0.7287197478365159,0.8893591812339282,1.3107645783663469,1.1465786011998613,1.081822511844902,1.0625381801005647,1.0344508200722768,1.0146915047874383,0.9936022355891975,1.007630082818658,0.9957871598755017,1.016021458700841,1.028814348724999,1.2024683311321365,1.8386296197097058,1.1687761653259379,1.0715312018007155,0.9988903856734409,0.916749898736148,0.8652933485152147
LZ_RAYBN,2,2,0.7416167574444558,0.6800774089743574,0.6539774298071721,0.6774045195415734,0.760326983473944,0.9105433695964069,1.4162854960371796,1.1978947064997072,1.0649734872952588,1.0568604817228082,1.0348798968579138,1.0274901437202166,1.0053208843071255,0.9906042695477969,0.9813592166861674,1.0005725748441798,0.9782775323989578,1.1149722425673365,1.6678830060572392,1.1892785687987328,1.116072844098483,1.0041888370179464,0.8858270037826627,0.8433123389223802
